State or Union Territory,Population
Lakshadweep,64473
Ladakh,274000
Andaman and Nicobar Islands,380581
Dadra and Nagar Haveli and Daman and Diu,585764
Sikkim,610577
Chandigarh,1055450
Mizoram,1097206
Puducherry,1247953
Arunachal Pradesh,1383727
Goa,1458545
Nagaland,1978502
Manipur,2570390
Meghalaya,2966889
Tripura,3673917
Himachal Pradesh,6864602
Uttarakhand,10086292
Jammu and Kashmir,12267032
NCT of Delhi,16787941
Haryana,25351462
Chhattisgarh,25545198
Punjab,27743338
Assam,31205576
Jharkhand,32988134
Kerala,33406061
Telangana,35003674
Odisha,41974219
Andhra Pradesh,49577103
Gujarat,60439692
Karnataka,61095297
Rajasthan,68548437
Tamil Nadu,72147030
Madhya Pradesh,72626809
West Bengal,91276115
Bihar,104099452
Maharashtra,112374333
Uttar Pradesh,199812341
India,1210569573
